sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
60,000;17710;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@668180236;Atlas3@1747550141;Group4@821394337;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;35641;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@181968839;Group4@69165292;Atlas3@2159799;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;27581;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@1707778728;AresParty@1796030561;Atlas3@1865599448;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;28924;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@1629918342;Atlas3@1877042898;AresParty@1809776630;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,915;34796;;60s;Yes;No;3;0,62667;0,86811;0,00000;0,24562;2,31099;Atlas3@1179172193;Group4@1217350616;AresParty@1286657553;0.6266666666666667;0.8162157250865434;0.8681093397144823;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;18359;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@501478500;AresParty@321132968;Group4@387686164;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;18099;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1724836439;Atlas3@1745426686;Group4@1815511335;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;34925;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1514583448;Group4@1417756832;Atlas3@1354686184;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;28324;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@1363186628;AresParty@1602713500;Atlas3@1538848948;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;29488;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@1072905522;Atlas3@825545916;AresParty@889935426;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,912;34603;;60s;Yes;No;3;0,62667;0,86811;0,00000;0,24562;2,31099;Atlas3@27051993;Group4@257632666;AresParty@191147177;0.6266666666666667;0.8162157250865434;0.8681093397144823;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;18080;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@882275115;AresParty@978426825;Group4@1047402587;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;18222;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1177057652;Atlas3@1223659457;Group4@1288704516;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;36296;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@92560787;Group4@188986195;Atlas3@259798755;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;28316;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@929352181;AresParty@966992233;Atlas3@1033675397;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
