sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
59,980;17230;;60s;Yes;No;3;0,66876;0,75145;0,06972;0,26542;2,16271;Mercury@1180339773;Atlas3@1218275462;Group4@1285743949;0.7424999999999999;0.6687591642433374;0.7514519900742164;party1_utility.xml;party2_utility.xml;party3_utility.xml
15,494;7922;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Mercury@1669350738;Group4@1833416530;Atlas3@1769483810;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,981;23366;;60s;Yes;No;3;0,64241;0,86935;0,00000;0,32497;2,27009;Group4@72724787;Mercury@177360841;Atlas3@246274627;0.7583333333333334;0.6424119955534886;0.8693465452612584;party1_utility.xml;party2_utility.xml;party3_utility.xml
4,290;1720;;60s;Yes;No;3;0,71766;0,92857;0,00000;0,00000;2,43122;Group4@518449899;Atlas3@270600007;Mercury@337543579;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;32693;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@1946111137;Group4@2100866222;Mercury@2030512081;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
17,452;5339;;60s;Yes;No;3;0,44818;0,80002;0,12205;0,49326;1,95736;Atlas3@8198969;Mercury@247133510;Group4@176517193;0.7091666666666666;0.4481811729268628;0.8000164999645744;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,967;17378;;60s;Yes;No;3;0,69167;0,76510;0,08786;0,20072;2,21407;Mercury@1965035012;Atlas3@2078797520;Group4@2144888180;0.6916666666666667;0.7573103866123065;0.7650971568330336;party1_utility.xml;party2_utility.xml;party3_utility.xml
15,629;8426;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Mercury@763477212;Group4@591812380;Atlas3@662296492;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,972;21021;;60s;Yes;No;3;0,64241;0,86935;0,00000;0,32497;2,27009;Group4@85294826;Mercury@198348856;Atlas3@267195802;0.7583333333333334;0.6424119955534886;0.8693465452612584;party1_utility.xml;party2_utility.xml;party3_utility.xml
4,305;1963;;60s;Yes;No;3;0,71766;0,92857;0,00000;0,00000;2,43122;Group4@863585286;Atlas3@1035910169;Mercury@964767606;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;32371;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@542599765;Group4@781226031;Mercury@716112165;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
17,452;5350;;60s;Yes;No;3;0,44818;0,80002;0,12205;0,49326;1,95736;Atlas3@807666979;Mercury@1055128919;Group4@987524691;0.7091666666666666;0.4481811729268628;0.8000164999645744;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;16494;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;Mercury@1023005591;Atlas3@842934904;Group4@906082535;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
16,212;8351;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Mercury@620744208;Group4@708326655;Atlas3@772253024;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,988;25706;;60s;Yes;No;3;0,65889;0,85774;0,00000;0,30422;2,28747;Group4@735807986;Mercury@622621433;Atlas3@555999874;0.7708333333333334;0.6588887341087437;0.8577432019496707;party1_utility.xml;party2_utility.xml;party3_utility.xml
4,304;1986;;60s;Yes;No;3;0,71766;0,92857;0,00000;0,00000;2,43122;Group4@639582806;Atlas3@685287653;Mercury@753346854;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;26431;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@464686798;Group4@360018888;Mercury@290121150;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
17,453;3976;;60s;Yes;No;3;0,44818;0,80002;0,12205;0,49326;1,95736;Atlas3@221088243;Mercury@65693222;Group4@131457667;0.7091666666666666;0.4481811729268628;0.8000164999645744;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,998;13308;;60s;Yes;No;3;0,53972;0,76750;0,09870;0,39066;2,05826;Mercury@1728811023;Atlas3@1775006366;Group4@1844706175;0.7675;0.5397234464673732;0.7510356374790311;party1_utility.xml;party2_utility.xml;party3_utility.xml
15,616;5541;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Mercury@2021985140;Group4@1984096788;Atlas3@1920819204;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,964;18519;;60s;Yes;No;3;0,64241;0,86935;0,00000;0,32497;2,27009;Group4@711189001;Mercury@614734133;Atlas3@547064185;0.7583333333333334;0.6424119955534886;0.8693465452612584;party1_utility.xml;party2_utility.xml;party3_utility.xml
4,304;1038;;60s;Yes;No;3;0,71766;0,92857;0,00000;0,00000;2,43122;Group4@129844982;Atlas3@159037553;Mercury@222637446;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;17933;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@842364494;Group4@1022533240;Mercury@952966462;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
17,457;3703;;60s;Yes;No;3;0,44818;0,80002;0,12205;0,49326;1,95736;Atlas3@2028495361;Mercury@1982825324;Group4@1913653617;0.7091666666666666;0.4481811729268628;0.8000164999645744;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,989;12615;;60s;Yes;No;3;0,67917;0,77670;0,08966;0,22345;2,19670;Mercury@1236741932;Atlas3@1198577770;Group4@1129268316;0.6791666666666667;0.7408336480570514;0.7767005001446213;party1_utility.xml;party2_utility.xml;party3_utility.xml
15,655;6587;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Mercury@2012527040;Group4@2033404238;Atlas3@2097992368;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,983;15633;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Group4@1316236544;Mercury@1085524670;Atlas3@1150043760;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
4,303;1203;;60s;Yes;No;3;0,71766;0,92857;0,00000;0,00000;2,43122;Group4@1325118750;Atlas3@1077691057;Mercury@1141104238;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;24110;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@1759283471;Group4@1713076836;Mercury@1646584447;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
17,454;3544;;60s;Yes;No;3;0,44818;0,80002;0,12205;0,49326;1,95736;Atlas3@626896622;Mercury@731530293;Group4@799393182;0.7091666666666666;0.4481811729268628;0.8000164999645744;party1_utility.xml;party2_utility.xml;party3_utility.xml
