sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
60,000;23158;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1045432968;Atlas3@1440994218;Group4@761474162;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;37152;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1122046966;Group4@1277621722;Atlas3@1209628806;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;29785;;60s;No;No;3;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@1610406339;AresParty@1362832460;Atlas3@1426371251;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;31464;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@391469032;Atlas3@429046642;AresParty@497892504;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;37789;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@690746829;Group4@669781656;AresParty@601071293;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;25047;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Atlas3@725785749;AresParty@629503885;Group4@565901285;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;23697;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1342904322;Atlas3@1590492275;Group4@1525904242;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;38213;;60s;No;No;2;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1988832649;Group4@2018303272;Atlas3@2087929593;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;35365;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@1941977403;AresParty@2097666355;Atlas3@2033734219;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;35683;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@554676774;Atlas3@801658999;AresParty@737663318;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
