sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
54,005;12007;;60s;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;RandomCounterOfferNegotiationParty@859332104;RandomCounterOfferNegotiationParty@1692042292;Group4@1271789325;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,001;26574;;60s;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;RandomCounterOfferNegotiationParty@2014846102;Group4@1994391013;RandomCounterOfferNegotiationParty@1927313382;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;18165;;60s;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;Group4@1837155185;RandomCounterOfferNegotiationParty@1665609905;RandomCounterOfferNegotiationParty@1735960577;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,004;18424;;60s;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;Group4@64191055;RandomCounterOfferNegotiationParty@219452485;RandomCounterOfferNegotiationParty@153817407;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;17713;;60s;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;RandomCounterOfferNegotiationParty@734275440;Group4@621005944;RandomCounterOfferNegotiationParty@557599744;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;12241;;60s;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;RandomCounterOfferNegotiationParty@1604941011;RandomCounterOfferNegotiationParty@1366200662;Group4@1431379875;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,004;12584;;60s;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;RandomCounterOfferNegotiationParty@1139193581;RandomCounterOfferNegotiationParty@1294024929;Group4@1226759581;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,004;19488;;60s;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;RandomCounterOfferNegotiationParty@143057010;Group4@104931090;RandomCounterOfferNegotiationParty@1199314217;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,004;19396;;60s;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;Group4@1183102169;RandomCounterOfferNegotiationParty@1212367481;RandomCounterOfferNegotiationParty@1283252137;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;22892;;60s;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;Group4@1748823696;RandomCounterOfferNegotiationParty@1727729127;RandomCounterOfferNegotiationParty@1657046496;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
