sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
60,000;17699;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@884268483;Mercury@295287422;Group4@535270539;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,916;29670;;60s;Yes;No;3;0,69241;0,85649;0,00000;0,09921;2,39723;AresParty@305387828;Group4@485766402;Mercury@416002628;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;24138;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@848468730;AresParty@1012228824;Mercury@946532746;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,944;26843;;60s;Yes;No;3;0,54583;0,89266;0,00000;0,42192;2,19349;Group4@2115568029;Mercury@1893658670;AresParty@1960930029;0.755;0.545828846037944;0.8926625450812115;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;31629;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Mercury@819896518;Group4@1041848493;AresParty@975621046;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,943;16661;;60s;Yes;No;3;0,61417;0,88340;0,00000;0,18109;2,25482;Mercury@301231500;AresParty@523469250;Group4@453773052;0.6141666666666666;0.8833992468415779;0.7572531444390406;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;15912;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1790524967;Mercury@1686031616;Group4@1614894423;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,915;32353;;60s;Yes;No;3;0,69241;0,85649;0,00000;0,09921;2,39723;AresParty@409487452;Group4@380613921;Mercury@311436076;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;26548;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@494797369;AresParty@330952678;Mercury@394684745;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,926;23229;;60s;Yes;No;3;0,54583;0,89266;0,00000;0,42192;2,19349;Group4@1799250774;Mercury@1710850113;AresParty@1640368166;0.755;0.545828846037944;0.8926625450812115;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;29895;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Mercury@1381302340;Group4@1553134718;AresParty@1487760180;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,920;18274;;60s;Yes;No;3;0,56333;0,86384;0,05472;0,23523;2,18965;Mercury@356406374;AresParty@469346481;Group4@533085974;0.5633333333333334;0.8638387434899761;0.7624821411743895;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;15736;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@44201882;Mercury@207980990;Group4@140123370;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,918;30811;;60s;Yes;No;3;0,69241;0,85649;0,00000;0,09921;2,39723;AresParty@1381651750;Group4@1487027798;Mercury@491990737;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;26584;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Group4@684709457;AresParty@638074168;Mercury@574078241;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,922;23520;;60s;Yes;No;3;0,54583;0,89266;0,00000;0,42192;2,19349;Group4@600226280;Mercury@755061728;AresParty@1815894491;0.755;0.545828846037944;0.8926625450812115;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,921;26179;;60s;Yes;No;3;0,61417;0,87971;0,00000;0,26841;2,29362;Mercury@2165228;Group4@250013592;AresParty@182018716;0.6141666666666666;0.7997389865312883;0.8797126830260701;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;18025;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;Mercury@906762243;AresParty@952889522;Group4@1022653299;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
60,000;17736;;60s;No;No;1;0,00000;0,00000;1,16612;1,41191;0,00000;AresParty@1053702635;Mercury@805945410;Group4@875975323;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
